cluster,Z1,Z2
0,108.36633986387672,107.74545816321432
0,107.91838725281,107.70298935384044
0,108.36059935264166,107.41803714767964
0,107.92384157647236,107.38662909446924
0,107.7154077715666,107.39389513743474
0,107.91342328915889,107.04218423119488
0,107.69434357032462,107.03818383857252
0,107.3414539005805,107.00645969588406
0,107.69257870420454,106.7629643399944
0,107.3518402239191,106.7438990980698
0,107.03062081374824,106.75729667549984
0,107.326957120045,106.3670634004418
0,106.98093698336642,106.35621308697932
0,106.64399932769564,106.29047364291408
0,106.97209736210364,106.0610971386698
0,106.65787889780924,106.01859169998134
0,106.32205012545602,106.0359244456287
0,109.87630899919002,107.52385661664384
0,109.6566269261512,109.32633912061716
0,109.6545908158656,107.46840566095916
0,109.3250899163838,107.47571203937989
0,109.65316263769267,107.1805398121496
0,109.32476772636775,107.18771094712918
0,107.4829412610007,107.19188122048725
0,109.326941869431,106.89967705847576
0,107.4441406069979,106.88573640798596
0,107.09870751444366,106.83154954704648
0,107.42477812181428,106.65900641509585
0,107.08797043789345,106.61467336267128
0,106.80715995027045,106.60136178686813
0,107.08256399742211,106.29800672479504
0,106.8040972481522,106.28673174812188
0,106.59471210953764,106.28298568882543
0,106.77488176252034,107.23633076968989
0,106.548758304043,107.2232829275552
0,106.61362797439752,106.51026345762536
0,106.31431628645464,106.51971232321272
0,109.48615826066052,107.96658766699494
0,109.48785857986188,107.62091542170889
0,107.9427202049731,107.6064038424025
0,107.93716668559613,107.29318355523549
0,109.48892583485996,107.30722189802366
0,107.59248987141773,107.2849139754178
0,107.9273870970066,106.9531802295847
0,107.57774571546412,106.93996165616002
0,107.25041495682542,106.91998853283448
0,107.55404727679924,106.642319790552
0,107.21706701699516,106.61275761791738
0,106.84141750266016,106.56815503216296
0,107.17971466084178,106.25346022485934
0,106.79552766436916,106.20002218409432
0,106.91197838526826,108.69711606997627
0,106.68291663767668,108.70453705331757
1,110.44449205188234,110.88786311050848
1,110.86376886324965,106.96926010908534
1,107.64904320626734,106.92284529791964
1,107.4690602641913,107.03271286742066
1,107.67484136071089,106.73753507662552
1,107.47198348955054,106.81554223102984
1,107.03999800165128,106.81961314224742
1,107.2614408350078,107.61157375078848
1,108.90030705594484,107.5903836594822
1,109.08649560950698,106.78429334124432
1,107.60518146564311,106.82040425344276
1,107.3000860594969,106.94920966842544
1,107.44644160154212,107.56597764369128
1,107.49023731901416,105.97027603233606
1,107.52171803342225,106.46789559214255
1,106.05271921501472,106.49534036026668
1,109.0376814500426,107.33216911354285
1,109.03629322109904,106.91460415141115
2,109.84969476576966,108.41584104383055
2,108.83869594718522,108.1800641063716
2,109.84106254336228,108.21730547706268
2,109.84504346224288,107.78000027753636
2,108.4318353466861,107.79698522714168
2,108.17869778171126,107.7337065861989
2,107.76568228462747,106.41179663779744
2,107.13210774318982,106.60392009624276
2,107.23114509823311,106.211913691599
2,107.24458706575332,106.02719058326824
2,109.20364719566268,107.67990554215191
2,109.20061009160963,106.93477637417834
2,107.59173915294782,106.8773888222469
2,109.20098588353711,107.22684670200232
2,106.9613593218959,107.24093294705555
2,107.618934683903,107.20581719678854
2,106.9979476847683,106.51728364011994
2,106.99805974905551,106.59379447605316
2,107.64031350073894,106.47063942452093
2,107.64035944092232,106.54844208868003
2,107.41154180035512,107.18781883304628
2,107.40838498130591,107.0197391743522
2,107.18021545034748,107.01597604795028
2,107.35421261646452,106.71189725336616
2,107.07543748641572,106.67079915810716
2,107.0958572616024,106.152734249025
2,106.84109177464292,106.06515795429216
2,106.58636822204114,105.03425100439875
2,108.01891270675304,106.44355154487486
2,107.76556924801092,106.5079497881085
2,107.24283243208824,106.65849512454922
2,107.30377472688672,106.06381322173904
2,107.5195057133633,107.10333312552888
2,107.42565521362252,107.14727376288934
2,107.53833204597896,106.80201481576096
2,107.43863241419608,106.8359304030511
2,107.17856586350528,106.85264626893547
2,107.4325896005246,106.8537133418884
2,107.16048198484022,106.85818915325072
2,106.8066630813454,106.83514743202392
2,107.0854851340942,106.0949046220185
2,106.77862654059398,105.36071628892994
2,106.78108468442558,105.32673141396728
2,107.65293108441656,107.51775789377028
2,107.61677922480168,107.29211559768468
2,107.43312293356276,107.2459839127916
2,107.4593076573684,107.06009899494832
2,107.32838697236068,107.11580591557998
2,107.62273379437828,107.08614867901004
2,107.4872716469921,106.87664819740638
2,107.36157830048434,106.93279848764242
2,107.31903433291656,106.75498635361797
2,107.1011617742318,106.75112383343476
2,106.80547449923336,106.686086971792
2,107.0514360570439,106.27242405376852
2,106.74783600463584,106.20278371052058
2,106.72495912372386,105.08885156501802
2,106.18301526499675,104.43302987289287
3,108.98448367829492,109.2936174178964
3,109.10955959144782,109.29494821953924
3,108.9806833255926,109.1028769968658
3,108.97890565865627,109.10563048667024
3,109.10010541229812,109.10388854718512
4,107.82540608943104,107.23574249203078
4,107.8656754556434,106.58081391764853
4,107.78706699455648,106.24495823238225
4,107.14337792006714,106.20755472552284
5,106.29444459074148,106.99355995290784
5,107.31613930019026,106.89357995897127
5,107.03379601819285,106.600750285489
5,107.3713989111362,106.52166933147956
5,106.30970613039692,106.57153253152724
5,108.5339743039166,107.96804759902795
5,108.54035341797196,107.8793099562919
5,107.9982893283104,107.897829914239
5,108.5462038936291,107.323896599923
5,107.98366358105324,107.13329484876844
5,107.87357622002617,107.1229059490279
5,107.21748174195204,107.04939080938198
5,107.83756492271154,106.77503011046144
5,107.1613884763775,106.706845343616
5,106.91560165467092,106.63629063451204
5,106.99162519748614,106.97406335525888
5,106.80436165486728,107.02443436866342
5,107.12152481281947,106.3632037274799
5,107.50928031445768,106.26185317529236
5,107.44628567262878,106.95854378044578
5,107.528541762215,106.30677826335446
5,106.39325861792832,106.3931845417186
5,107.13074767305618,106.37719306584492
5,107.97095307637476,107.18265692771104
5,107.95455632362312,107.16341765527744
5,107.12730964350368,107.13837378084682
5,107.93258338460922,106.85758777882016
5,107.08073085480254,106.82616298355576
5,107.03943789036263,106.773111889748
5,107.07655841503738,108.20392262725642
5,106.84902787827654,108.21395441907192
5,107.90790648167642,107.20932573407438
5,107.79834738366507,107.07215831431564
5,107.1974736117946,107.1170347299154
5,107.80173461526624,106.77954043971565
5,107.18562539984764,106.80799083261805
5,107.09004873633886,106.79252704403667
5,106.70037850798322,106.591813848782
5,107.06527768864964,106.65430027418412
5,107.1706118804193,106.67807384003858
6,107.71180099081806,107.08807109702934
6,109.278336895748,109.05740518980517
6,109.05987923289575,106.5777055045789
6,107.76735452679088,106.65788762411798
6,107.23839572026672,106.73008345899224
6,107.78547392721607,106.28160862490668
6,107.25590036500871,106.33453777685892
6,106.78324544393058,106.36392697300708
6,107.2488145329166,107.17689025761943
6,112.0582379432312,106.85213317967371
6,107.3301163437237,106.9259803276518
6,107.34487677727827,107.03963135437075
6,107.35552720856244,106.81641414779033
6,107.32666673488389,106.91560919397932
6,107.00121700307513,106.8900648747242
6,107.31752755829726,106.7512219366342
6,107.00222670276878,106.72882051199
6,106.8919741188356,106.72993534238796
6,107.00972850971122,106.4416260712542
6,106.90185150459352,106.446910567262
6,106.75148345281256,106.45902741790798
6,107.09776589459936,106.350405377323
6,107.45221392544975,106.9026246679745
6,109.1729770243938,106.6692824690864
6,107.98166534339424,106.80166082903855
6,107.01366139183672,107.3243356667438
6,107.49089137427312,107.27982300535574
6,108.01464040919276,107.22198249777132
6,107.5062563049511,107.08101487303212
6,107.02818197981848,107.11630257027228
6,107.3548570732483,107.13361937093605
6,108.27892584305668,107.11226481924268
6,108.30181909850214,106.85897193457052
6,107.22563540784304,106.93729684713962
6,108.32534929988655,106.7226421073153
6,107.26294111319484,106.82679155059266
6,107.01209227275784,106.875837387491
6,107.2826897232565,107.09791967352317
6,107.0102524185736,107.13524370497134
6,106.87250667734573,107.13358637115331
6,106.98711160533897,106.5637517177868
6,106.84461001172828,106.54964835344484
6,107.08873282408,106.5215365376592
6,106.87111246098264,105.03076727167873
6,107.13196942075707,105.02974331619508
6,106.61877149251968,105.10060912036109
6,106.58091657655211,107.11668212120698
6,105.02352310688563,107.1058775675721
6,111.04091653609014,107.8163692155884
6,111.0566137778505,108.25465219313504
6,107.79408682998408,108.24564851953797
6,107.79345253045202,108.25890553218174
6,108.24429289452216,108.25797098376636
6,111.06082454464284,108.26677755681132
6,107.80548806180164,106.95018716321924
6,108.26090249041508,106.97198761620524
6,108.2885884427037,107.0117228224136
6,108.27270514165144,106.79881483829276
6,108.29090243803368,106.83154970690548
6,107.0198125065305,106.83544571793784
6,108.29030299684752,106.57749417525248
6,107.01631348722674,106.57931751988964
6,106.8282482678646,106.57477142470844
6,107.07128060321322,106.43623289684405
6,106.90922588755244,106.47031832833564
6,106.74351842527513,106.55633340023068
6,106.9850260591356,105.5832007760869
6,106.8222217055653,105.69136040706574
7,109.27177081522854,108.32302250648608
7,109.24250155066686,108.24410795496668
7,108.2782448833798,109.11140608459252
7,109.25009235708087,109.1105907196702
7,109.18600222563676,108.93153090649665
8,109.1367559403821,107.0537481227776
8,107.47850646799374,106.92413528720594
8,109.1367838466231,106.54532028377814
8,107.5284390956317,106.47991720492205
8,107.0596128718837,106.54893074851076
8,107.59046351652688,106.08256732243215
8,107.17505582878373,106.16938902233063
8,107.15348523864496,106.02181376373603
8,109.93114901870166,107.17778604862625
8,109.91534797486727,106.6957998217025
8,107.78635269384446,106.66143483454312
8,107.3223316915516,106.7765438717738
8,107.8074795508752,106.17216855617217
8,107.33038201401584,106.25513356854002
8,106.80032128601854,106.26902769983305
8,107.37260662299612,105.9103539444212
8,106.89299352533024,105.9604788965338
8,106.87259097681378,105.62835559999884
8,105.87675097401274,105.56732643631678
8,105.9478876887536,106.40583955076876
8,107.817933821897,105.91895470630848
8,107.74372605274388,106.9478896241533
8,107.19198738079672,106.88798912746287
8,106.12239570213454,107.07784824647796
8,107.20975836822352,106.90057568661862
8,106.05128024502793,107.00555963874643
8,106.96271623666988,106.94686763515624
8,105.92162396959912,106.87988478652392
8,106.98304797261788,107.46734673284487
8,106.92241106173957,106.1169722834872
8,107.3699240118708,106.02749843735332
8,106.941928106509,105.9559996183022
8,107.41809435522848,105.92394440647804
8,107.45672863576225,105.1393066909346
8,109.73217695682494,107.00716198156366
8,109.73146741737456,106.6969372113646
8,107.01476963258906,106.70248914011448
8,107.0020956489915,106.34147880277722
8,106.67240473116148,106.32470027332148
8,107.02710935324396,105.96886549229475
8,106.72475823183557,105.97811958480712
8,106.44649790856552,106.04711601323535
8,106.70309059478548,105.53716412513788
8,106.3809413700598,105.56206538088908
8,105.87209835528944,105.45429885506825
8,106.25818506409222,104.979057846196
8,108.78492206161144,108.63333061196084
8,108.79698770273578,107.1853172537996
8,108.65375227042884,107.20445719249604
8,108.63905797849054,106.82816219444378
8,107.04102195768598,106.70659183766097
8,107.09092600907807,106.48042074554208
8,106.82307192146104,106.54199906284582
8,107.06805924849787,106.0061627958842
8,106.75602368656308,106.0268132843686
8,106.37842914081442,105.92556711714464
8,106.79878287924798,106.01020628511236
8,106.50121643860908,105.99688984899504
9,108.2690176448268,107.31570557657486
9,108.28908854588262,106.86812489213298
9,107.39445822119303,106.90313917971804
9,108.3023607095004,106.55299049749108
9,107.42560528221142,106.5824628697745
9,106.98970528235344,106.62632391937242
9,107.46511255616493,106.26104893635726
9,107.06680150264944,106.31811350410524
9,107.14768721063228,106.06865235721062
9,108.07169005531068,107.15724444973786
9,107.63379359000773,107.19482734727842
9,108.092476146405,106.79375271314728
9,107.6615644393006,106.83530644038808
9,107.26308823313764,106.8771019265168
9,107.69804105852629,108.06394394455154
9,106.97264704053464,108.11366977180532
9,107.30765034024937,108.08895535328132
9,107.0565515360526,110.531560546096
9,107.38656614165797,110.57120202686669
9,106.9669319340364,109.29207903668797
9,108.11039094687936,109.29214911324192
9,113.16849901464798,111.4902481647248
9,112.86791443297876,109.19689238539652
9,112.0020204324728,109.1966117819039
9,111.99842096029504,106.68718621894767
9,111.63834641611425,106.6299174688842
9,109.19677430619296,106.69352715419664
9,111.65103351292024,107.4569091497092
9,109.19604236549878,107.47555512254893
9,109.19728736027363,106.63740497905891
9,108.11381628610334,107.2212345949266
9,108.11010245661431,106.91847925430488
9,107.20848426050384,106.90997904386548
9,107.29504510308792,106.59862925442
9,107.10401485620244,106.70930255582508
9,107.00281233314044,107.50827310787848
9,107.2630757497526,106.31026352968094
9,107.2576099734123,107.48460339879855
10,108.59223244729353,108.4205461830408
10,108.5916315600915,107.99525378615374
10,108.41772938327352,107.99135030290633
10,107.57330326948372,106.69475331352776
10,107.60768863142944,106.41222028298132
10,107.31971569064716,106.83391225245668
10,107.33508380862446,106.50608416903972
10,106.87622250383708,106.52876111810394
10,107.37212262775112,106.2445306142716
10,106.94742352358394,106.28763394833138
10,106.99873726757689,106.05977204016754
10,108.40127771684334,107.96912168057274
10,108.39769256463144,107.97071252456396
10,108.39520435902595,107.33016303419616
10,107.952098669837,107.31986181551422
10,107.9638023468268,107.32597614997526
10,107.93190646289764,106.9812717189819
10,107.92198713801112,106.97792824469938
10,108.38023700425006,106.99696272695417
10,107.22910389146938,106.92952154928793
10,109.23210453512309,107.4900277595998
10,109.22457104023609,107.41903372862882
10,109.22373888889416,107.17138015080036
10,107.4462510989602,107.19317619764928
10,107.46974560851844,107.37942511694328
10,107.24163336380995,107.40365553473706
10,107.45351368846056,107.27718866746432
10,107.33282270440662,107.2294636538811
10,107.20419652659176,107.28283199306608
10,107.22648531746007,106.95037590976996
10,107.38727618262456,106.93196048533146
10,107.32520696439656,107.01360913577751
10,107.0047915230348,106.76015539553651
10,107.32060420272882,106.76584291961552
10,107.32212666557152,106.35221648608965
10,106.77004837423448,106.35578977322956
10,107.0095320055797,106.34998197882922
10,106.75071471203802,106.68259067725384
10,106.99863618761836,106.68591919732756
10,106.31297032313748,106.66369110989564
10,107.83695848491188,107.7532313399014
10,107.43871573609964,106.95614274675812
10,107.81700455510098,106.8346079463085
10,107.72067651042748,106.82456653708772
10,107.752946659447,106.4448578798081
10,107.45757624941834,106.539359306571
10,107.01083177236607,106.56991198859268
10,107.54046873778792,106.30754982563768
10,107.20006087370196,106.40328242137576
11,107.45792419681456,107.13240695621388
11,107.48735668927688,106.97041073369196
11,107.19918997194168,107.01251252862986
11,107.48901982196556,107.30632273212694
11,107.17889958333753,107.32746975119404
11,106.97500710783537,107.3096389714016
11,107.25545380537228,108.28725506386424
11,107.07843667091537,108.29874964906692
11,107.443948003885,108.3299736990628
11,107.33822107452671,106.63326455150172
11,108.26162846437074,106.5746470069765
11,108.50871889572778,107.68330800811532
11,108.56446004551312,107.682334014632
11,107.68839896936586,107.24517057037802
11,108.50988210197144,107.24157316526409
11,108.5657449944273,107.24088615586162
11,108.93659511243511,107.21894094465446
11,107.76061722726853,107.0180509555584
11,108.94843503774408,106.95153177241043
11,108.58784620763366,106.96995545678216
11,108.53362878317344,106.97053447694825
11,107.42060495032663,107.12625775727297
11,107.81741327820556,107.35810484706256
11,107.45592773008624,107.45939311835048
11,107.1927776491754,107.49424813210967
11,107.41560098316496,107.44227888275988
11,107.12036945596137,107.4397162418881
11,107.3931130849257,107.38722769191877
11,107.19848202559464,107.6088551224588
11,107.49949076031852,107.6105084791608
11,107.54865954943612,107.67505469155137
11,107.68394353986108,106.14990825681284
11,107.50021767458084,107.0127879781462
11,107.54224006317855,106.70773072594898
11,107.13297711505638,106.77307817957023
11,107.57282781281782,105.85028894489672
12,107.46007904418774,107.20997860700342
12,107.49575788885832,106.91906341877612
12,107.28833096215229,106.96305426892364
12,107.51595488810936,106.77898305279388
12,107.3033883763316,106.81572194992263
12,106.99846346968154,106.83460475768062
12,107.60600463874984,107.4710327878637
12,107.58039168204972,107.11450033053616
12,107.41511864649505,107.08145503658037
12,107.46496959469484,106.76080674680344
12,107.1962207804064,106.8265308010808
12,107.60226798073082,106.763567612793
13,109.8931187935611,107.77471013282796
13,109.8872145729547,107.5872812428566
13,107.79495640316388,107.59870818756409
13,109.87552423385786,107.18621441959829
13,107.82004949881004,107.20798540791142
13,107.65569434800943,107.24441896614223
13,107.80198289200298,106.86175407391028
13,107.61081556038478,106.86782657586296
13,107.12548696122894,106.79703514414032
13,107.59833178174314,106.60928576121552
13,107.13068273337582,106.5580045249826
13,106.80931692346245,106.56496520426684
13,107.16583544379114,106.40017276915876
13,106.86789878410546,106.4287527746586
13,106.69414943848793,106.49705629553551
