cluster,centroid_xf,centroid_yf,mean_distance_to_centroid,mean_camera_distance1,mean_camera_distance2,Z1,Z2,mean_camera_distance
0,235791.81243,148618.52124,0.299864269444049,14.04950593812722,12.599253299460823,107.51047630410751,106.9917149174756,14.04950593812722
0,235791.65114,148618.54161,0.1385957453654387,13.498205487360714,12.83761014591862,107.2875998209764,106.7447864920117,13.498205487360714
0,235791.75652,148618.52588,0.0189630507778913,12.7672291396347,14.034142051198929,106.98740194746752,106.55272215437952,12.7672291396347
0,235791.68151,148618.49227,0.0714440442654735,13.052354944773462,15.441126124512277,106.67495159583927,106.59011952595996,13.052354944773462
1,235783.11046,148596.70099,0.1419025671521853,14.416282453037494,7.880142881099998,109.83764161433496,108.21391294256748,14.416282453037494
0,235791.82762,148618.63211,0.2696482321453404,14.587376216749275,17.060686392685636,106.50095559054868,106.53242783110782,14.587376216749275
0,235791.90465,148618.74193,0.357059394073793,15.795815215039744,17.662604570108083,106.51920301030168,106.50919892333144,15.795815215039744
1,235783.07922,148596.86464,0.2277092234162085,10.163345635513885,5.075997725439626,108.88713576531865,107.10729820720972,10.163345635513885
1,235783.07822,148596.98375,0.2215097774189321,7.205392296326305,5.585273070947217,107.47643911969438,106.92991791755529,7.205392296326305
1,235783.14592,148597.12546,0.0064547550336132,5.1559875788369,5.477985151612262,107.32701391846436,106.88928941356596,5.1559875788369
1,235783.5037,148597.22224,0.3151400722470968,4.4660086869575135,9.954819772341452,107.13798020922468,107.37137779333028,4.4660086869575135
2,235780.747,148567.34689,0.1352975355991389,27.971010213319005,24.12399952567939,108.68575541348916,109.52013394806276,27.971010213319005
2,235780.81609,148567.45415,0.1562008064094321,26.881476345455173,21.567820838644,108.8926297286094,108.96145196261976,26.881476345455173
2,235781.0473,148567.77319,0.411226007543983,23.50177659527802,17.419026481063394,109.10773995330632,108.55500173433649,23.50177659527802
2,235781.20663,148567.99156,0.242303493318999,19.7190953008478,13.232546714843451,109.1009076909189,108.0332443746867,19.7190953008478
1,235783.60266,148597.67229,0.1697374959160237,16.867328308205682,22.08019441581681,107.51564512857486,107.59575594920396,16.867328308205682
2,235780.9381,148567.7078,0.4742984875935196,16.24819641852581,9.85566816780679,108.20541755305004,107.67568687361045,16.24819641852581
1,235783.95984,148597.69267,0.4864473641669462,18.84432174407349,24.66972711688796,108.64573824054033,107.02016532299332,18.84432174407349
3,235776.56056,148564.97305,0.7529516854123081,13.953968504725134,10.257214031429742,107.2187722825617,107.08088886897956,13.953968504725134
3,235776.80842,148565.03029,0.2380980825939759,11.173336192341043,11.159037658151668,106.79197001005627,106.84561195633488,11.173336192341043
3,235776.65684,148565.00579,0.2293791693514144,10.148983932677137,11.70424187024389,107.2404447431731,106.6719998586466,10.148983932677137
4,235785.05375,148555.04836,0.2402593424393806,9.57713006973638,5.458653841522145,108.16489036628492,106.8033357747432,9.57713006973638
4,235785.19899,148555.21749,0.1480785771758727,6.822832876831913,6.784838395804588,107.4236951623385,106.57601925915203,6.822832876831913
4,235785.40034,148555.46132,0.3176259055728245,4.921622573288465,8.358409322372957,107.21426257885524,106.3836036087273,4.921622573288465
5,235821.17585,148562.00089,0.5521923026633194,24.893262458797764,17.555997776394175,110.33503535466735,109.23867174078578,24.893262458797764
6,235812.66488,148550.31194,0.1518473949906691,9.774705792832007,5.017040233768331,108.30763120418791,106.98894170499176,9.774705792832007
6,235812.59127,148550.34436,0.1134506901540645,8.740627944135785,5.337544412917341,108.06801964450288,106.7104103294389,8.740627944135785
6,235812.48893,148550.49506,0.3052866704013969,6.222735228233514,7.053221668837264,107.2865106863396,106.4273342960016,6.222735228233514
6,235812.43808,148550.73193,0.2666197207773829,4.75960789779702,9.51712620792401,107.0153919839097,106.24440706891464,4.75960789779702
5,235821.17889,148562.25279,0.1541407578814492,11.206252928520904,5.756532831373604,108.19688901920448,106.96094595108612,11.206252928520904
5,235821.0021,148562.22659,0.1442838832940564,8.727641564471165,6.1583286701029,107.77837261432796,106.80812448917732,8.727641564471165
5,235820.74349,148562.28176,0.2217616040665833,6.072540344826153,7.853220465270927,107.20042450203984,106.52395346093265,6.072540344826153
5,235820.46517,148562.50537,0.3606363099791017,4.981683278129667,10.461900928794416,107.02650318541616,106.34565764250831,4.981683278129667
7,235819.13128,148577.44353,0.4356560633358997,12.409792975074373,7.494603917497867,107.67480297840748,106.95576716480392,12.409792975074373
5,235820.23146,148562.84221,0.1880795780957599,5.501764612787196,13.19010824973496,106.95516895952824,106.51231736951308,5.501764612787196
7,235818.93793,148577.09988,0.3622569583429031,8.655020577574847,7.1220902262855965,107.35871519695894,106.66498341373678,8.655020577574847
7,235818.60543,148576.86375,0.1795576636177574,6.410014686183504,8.877180433037404,107.09304394976864,106.46471534576858,6.410014686183504
7,235818.27997,148576.89125,0.2885813282424918,6.69854273622675,11.892738995976895,106.79691371386065,106.27099306481472,6.69854273622675
8,235806.50314,148586.84107,0.0610975316787027,5.881695054186326,3.73238566700288,107.38149028601104,107.03844340617856,5.881695054186326
8,235806.50886,148586.82724,0.0455221259026004,5.333603575945564,4.874785213776136,107.29789956186193,107.17646027887638,5.333603575945564
8,235806.40825,148586.81851,0.1261474731473155,4.0648093035028605,7.18763719122181,107.18848919054786,107.76093327720324,4.0648093035028605
8,235806.0644,148586.93963,0.4217800892483677,4.055158408872627,9.799566246690976,107.3289122845063,107.96779388565504,4.055158408872627
8,235806.16532,148586.94698,0.4653779465534462,6.492041232605796,13.638469669857296,107.69048464099431,107.38282703125446,6.492041232605796
