cluster,x,y,distance_to_centroidf,distance_to_camera1,distance_to_camera2,Z1,Z2,mean_camera_distance
0,235782.45949157258,148622.46077127755,0.14407628880441356,0.3647905741635265,1.9725190857743644,109.12949900937387,108.94726613011828,1.1686548299689454
0,235782.4559330369,148622.74890188128,0.14407628880405413,0.0766379965550588,3.83014572530734,109.1400351978515,108.77703204073788,1.9533918609311993
0,235782.45949157258,148622.46077127755,0.14407628880441356,0.3647905741635265,1.9725190857743644,109.12949900937387,108.94726613011828,1.1686548299689454
0,235782.4559330369,148622.74890188128,0.14407628880405413,0.0766379965550588,3.83014572530734,109.1400351978515,108.77703204073788,1.9533918609311993
0,235792.37396853793,148618.3642202599,0.5830809269691445,14.674169937780528,13.488022343529654,107.65559890837231,107.1652174168008,14.081096140655092
0,235791.979566402,148618.53858218848,0.1680341688532954,14.24294479129299,12.562017665357558,107.70019399201516,106.7843589694659,13.402481228325275
0,235791.30981520776,148618.659950968,0.5214019735562903,14.058555578777662,12.383541034577064,107.48979984960393,107.33151077503572,13.221048306677364
0,235791.61079795772,148618.51640812584,0.20168907664841934,14.392014966572754,12.192583158909711,107.45000262449823,106.85594213614124,13.292299062741233
0,235791.78799704032,148618.5270631144,0.025115201193095633,12.879844416212158,12.370102294930128,107.25678614604792,106.82154528993433,12.624973355571143
0,235791.30981520776,148618.659950968,0.3612605728080495,14.058555578777662,12.383541034577064,107.48979984960393,107.33151077503572,13.221048306677364
0,235791.61079795772,148618.51640812584,0.047566131481095154,14.392014966572754,12.192583158909711,107.45000262449823,106.85594213614124,13.292299062741233
0,235791.66655313477,148618.4898177097,0.05403279195664551,14.453786238200982,13.288845070558153,107.44263043678353,106.50091625340042,13.871315654379568
0,235791.78799704032,148618.5270631144,0.13762602416723949,12.879844416212158,12.370102294930128,107.25678614604792,106.82154528993433,12.624973355571143
0,235791.77340076872,148618.53111945253,0.1227081330065996,12.864694993008651,13.403397464001134,107.25906707958605,106.47776463041237,13.134046228504893
0,235791.7582851418,148618.52527653665,0.10838081877300294,12.340336731392073,13.387191852535533,106.8273127893388,106.48103986714611,12.863764291963804
0,235791.78799704032,148618.5270631144,0.03149452518071459,12.879844416212158,12.370102294930128,107.25678614604792,106.82154528993433,12.624973355571143
0,235791.77340076872,148618.53111945253,0.01767179443694237,12.864694993008651,13.403397464001134,107.25906707958605,106.47776463041237,13.134046228504893
0,235791.75614946207,148618.53591363115,0.01004502337784396,12.846789917478166,15.034972409466677,107.2617629107561,106.50842866566416,13.940881163472422
0,235791.7582851418,148618.52527653665,0.0018593883558121523,12.340336731392073,13.387191852535533,106.8273127893388,106.48103986714611,12.863764291963804
0,235791.74017068068,148618.5241873133,0.016441144034156335,12.322189552288814,15.015152520849618,106.83082906224716,106.5119182683374,13.668671036569215
0,235791.72314636613,148618.51169371197,0.036266429281878454,13.349519227428345,14.99403576541049,106.48865369682909,106.51563620478268,14.171777496419418
1,235781.87716834087,148602.23051561392,0.1267644811101552,19.90267196117548,11.760314745832455,109.17253120009761,110.04331365629143,15.831493353503966
1,235781.6882624995,148602.06142534874,0.1267644811101552,15.88306282661468,7.852347122003246,109.55379297603072,110.18285161364987,11.867704974308962
0,235781.30239743847,148604.76019898197,0.05298750754769348,13.15684365554721,9.166156012673907,109.49622982991228,109.8543479191506,11.161499834110558
0,235781.28739789035,148604.86510711978,0.05298750754357416,13.050868640455944,1.0487772075898494,109.49399220524023,108.99273064673608,7.049822924022896
1,235791.7582851418,148618.52527653665,0.08357221189090853,12.340336731392073,13.387191852535533,106.8273127893388,106.48103986714611,12.863764291963804
1,235791.74017068068,148618.5241873133,0.06678472344434931,12.322189552288814,15.015152520849618,106.83082906224716,106.5119182683374,13.668671036569215
1,235791.6693104246,148618.51992648302,0.030231060166115563,12.251201309824715,16.48962251107251,106.8445840393909,106.66632758882393,14.370411910448613
1,235791.72314636613,148618.51169371197,0.04594703897244813,13.349519227428345,14.99403576541049,106.48865369682909,106.51563620478268,14.171777496419418
1,235791.63321729793,148618.4769318075,0.0506675587943063,13.253105393825356,16.433486462804748,106.50813942435795,106.67484213647387,14.843295928315051
1,235791.56492304237,148618.39557866272,0.1514616723247135,14.79777745388147,16.327267634400755,106.55019056287176,106.69095309019568,15.562522544141112
0,235783.09741954584,148596.85994245973,0.1594841690494834,17.267770511218373,13.241331054614024,110.44449205188234,110.88786311050848,15.254550782916198
0,235783.12107112698,148596.75584705197,0.05587183731689016,17.374519053164097,5.985060100048251,110.45226791257261,107.35611589813854,11.679789576606174
0,235783.12187449107,148596.7696743242,0.06962424878627714,13.334853140987054,5.971209509770123,110.90009809708994,107.36041387153435,9.653031325378588
0,235783.1014715758,148596.418505179,0.28263001345609057,9.687987106780454,6.32297085996759,107.55370839579494,107.25125889008855,8.005478983374022
1,235791.72314636613,148618.51169371197,0.03377633928449747,13.349519227428345,14.99403576541049,106.48865369682909,106.51563620478268,14.171777496419418
1,235791.63321729793,148618.4769318075,0.12998752501157435,13.253105393825356,16.433486462804748,106.50813942435795,106.67484213647387,14.843295928315051
1,235791.89539347176,148618.578275492,0.15122573056795652,13.53418703412273,17.948782417574314,106.45133139120004,106.47649187539606,15.741484725848522
1,235791.56492304237,148618.39557866272,0.22976482814116286,14.79777745388147,16.327267634400755,106.55019056287176,106.69095309019568,15.562522544141112
1,235791.94756715384,148618.67638896807,0.24495196927149598,15.272404616643959,18.0599055352755,106.4666249965876,106.45954772171119,16.66615507595973
