cluster,mean_distance_to_centroid,new_centroid_x,new_centroid_y,mean_distance_to_camera,cluster2
2,0.2779469992200275,235781.0338,148567.7248,15.533894476470344,-1
4,0.23809897440625485,235776.8084,148565.0303,11.166186925246356,-1
6,0.19811331156479564,235793.3591,148553.9611,4.076279400937731,-1
7,0.23333559596316888,235812.4894,148550.4628,7.4947754543250955,-1
8,0.27826756470875047,235820.7701,148562.2576,7.519512040346775,-1
11,0.1442855473351565,235806.4614,148586.7987,6.860390218488505,-1
14,0.16500571888998966,235809.6742,148611.2503,10.374116395399788,-1
15,0.22132400564613117,235792.3269,148650.4717,12.463878890644752,-1
16,0.1055027410756621,235810.2214,148639.3203,9.970737523408566,-1
17,0.3311875340621318,235793.2125,148680.91,10.55180036308253,-1
18,0.1715005792631567,235808.9331,148672.784,9.599123576284695,-1
19,0.14245165198586726,235793.0527,148693.0533,13.589842330203586,-1
20,0.21343917825619868,235801.2911,148706.5939,13.878654857542054,-1
13,0.24886023945303284,235791.5364,148619.7139,12.14267488837125,0
1,0.3833378669427961,235783.2777,148597.0867,9.643872850351311,1
5,0.2694452712178534,235785.0861,148555.0855,8.533528749420842,2
9,0.28012042835823514,235818.7268,148576.7476,10.778613204591412,3
