cluster,mean_distance_to_centroid,new_centroid_x,new_centroid_y,mean_distance_to_camera,H1,H2,Z_final,cluster2
0,0.11012274406774213,235791.7723,148618.5758,13.958414490280852,7.893983355514066,7.866590545049649,111.78653234401429,-1
1,0.2820553383325821,235783.2018,148597.049,6.7476835494086504,35.51104684854778,39.81255460181866,111.31033487200538,-1
2,0.14833988906896503,235781.064,148567.8242,19.823022771550544,8.008741231009962,9.591227659842756,109.6044312375771,-1
3,0.09103744886747929,235776.6753,148565.003,11.758762876581104,12.522428047789239,8.711543539872595,111.56278695321508,-1
4,0.19009137070445017,235785.2177,148555.2424,7.107195173285586,17.029192658493987,18.423479350069062,,-1
