,nom,time,x,y,z,omega,phi,kappa,M11,M12,M13,M21,M22,M23,M31,M32,M33,roll,Pitch,Yaw
16,Job_20240422_0938_Track11_Sphere_00017.jpg,116753.255061,253523.4794382051,42020.255825514,388.3139086058,-117.4563256385,-63.858169318,186.7025971695,-0.526019353,-0.1114986063,-0.8431320781,-0.850141523,0.0965946092,0.5176184621,0.0237282764,0.9890589175,-0.1456002288,-8.374413432527842,-1.3596577032587156,-121.74687195760767
17,Job_20240422_0938_Track11_Sphere_00018.jpg,116753.659679,253525.9704564566,42018.6047787089,388.5663456367,-117.3132164133,-63.7707420038,186.9595045417,-0.527598194,-0.1096103783,-0.8423928482,-0.8491077852,0.0979460159,0.5190592906,0.0256147381,0.9891370698,-0.1447471666,-8.32538948021408,-1.4677769191237007,-121.85499802497475
18,Job_20240422_0938_Track11_Sphere_00019.jpg,116754.063905,253528.4753816235,42016.9254052192,388.8172898088,-117.0169414226,-63.2931059019,187.3617448056,-0.5344613702,-0.1075181177,-0.838326248,-0.8447659334,0.0994789602,0.5258083816,0.0268618959,0.9892137235,-0.1439953044,-8.282113372970004,-1.5392584170967014,-122.32046979232436
19,Job_20240422_0938_Track11_Sphere_00020.jpg,116754.449571,253530.8941434869,42015.2736078268,389.0530790975,-116.6769826758,-62.714479161,187.8828862104,-0.5427833732,-0.1045766806,-0.8333366232,-0.8393655801,0.1020200346,0.5339076095,0.0291827456,0.9892702515,-0.1431528447,-8.233860295827206,-1.6722855773534453,-122.88909569336309
20,Job_20240422_0938_Track11_Sphere_00021.jpg,116754.833111,253533.3349875713,42013.5716134654,389.2974766549,-116.2492091157,-62.1854899799,188.487410177,-0.5505446429,-0.1006598167,-0.8287147866,-0.8342000887,0.1041425028,0.5415390578,0.0317932097,0.9894553756,-0.1413055251,-8.127534883993661,-1.8219237568228686,-123.42349951286768
21,Job_20240422_0938_Track11_Sphere_00022.jpg,116755.210412,253535.7552591752,42011.8482027035,389.5305977091,-116.3527707156,-61.5930308325,188.4700594488,-0.5580793877,-0.1021946393,-0.823470493,-0.8291867885,0.1064382336,0.5487441774,0.0315700314,0.989053668,-0.144139429,-8.291610703817376,-1.8091301618684172,-123.94229804558834
22,Job_20240422_0938_Track11_Sphere_00023.jpg,116755.590114,253538.2110758041,42010.0500955628,389.7777450476,-116.2576966386,-61.4413446301,187.8131961704,-0.5589199013,-0.1083203535,-0.8221163208,-0.8289855181,0.0966488872,0.5508557011,0.0197877433,0.9894067382,-0.1438149908,-8.270294587526056,-1.1338281764781843,-123.98869788080349
23,Job_20240422_0938_Track11_Sphere_00024.jpg,116755.961096,253540.6384029629,42008.2800577767,390.0236000884,-115.4256571113,-61.7559055829,188.0646339468,-0.5553455611,-0.1053536028,-0.8249193452,-0.8315097021,0.0864768489,0.5487379792,0.0135249025,0.99066764,-0.1356270771,-7.795599734821336,-0.7749434575762894,-123.73801947026288
24,Job_20240422_0938_Track11_Sphere_00025.jpg,116756.347161,253543.1122486911,42006.5051899813,390.2643905515,-114.9903949194,-62.0641754019,188.2596784826,-0.551732466,-0.1029179741,-0.8276467704,-0.8339418398,0.0817626547,0.5457617393,0.0115019046,0.9913237407,-0.1309387158,-7.524341073224502,-0.6590251208584236,-123.48845619619341
25,Job_20240422_0938_Track11_Sphere_00026.jpg,116756.748601,253545.564303758,42004.7709512319,390.4875538917,-114.8548620914,-62.5594546172,188.3798679363,-0.5455771613,-0.1007043097,-0.8319881027,-0.8379660893,0.0804596537,0.5397583509,0.0125854825,0.9916576456,-0.1282837461,-7.371014833711399,-0.7211140675102604,-123.06706805832172
26,Job_20240422_0938_Track11_Sphere_00027.jpg,116757.194217,253548.1467585093,42002.9693620671,390.7150212023,-113.9565841405,-63.6482363082,188.4273149624,-0.5315782905,-0.0977107298,-0.8413543453,-0.8470019142,0.0654315506,0.5275475993,0.0035040585,0.993061592,-0.117543167,-6.750374515187365,-0.200768174239708,-122.11237646838828
27,Job_20240422_0938_Track11_Sphere_00028.jpg,116757.645327,253550.6323059922,42001.2995955069,390.9039342953,-113.962430617,-64.6171462759,188.3603735313,-0.5188225391,-0.095930154,-0.8494825357,-0.8548712674,0.0631896308,0.5149778508,0.0042765833,0.993380328,-0.1147921371,-6.591696527838785,-0.24503091936193977,-121.25362082664418
28,Job_20240422_0938_Track11_Sphere_00029.jpg,116758.123691,253553.1877278285,41999.6161246076,391.0802502148,-113.9048923713,-65.5753007237,187.6503020167,-0.5051166857,-0.0992348014,-0.8573270018,-0.8630308342,0.0512767365,0.5025420137,-0.0059087261,0.9937419939,-0.1115434286,-6.404407381061679,0.3385470403885722,-120.33968391885895
29,Job_20240422_0938_Track11_Sphere_00030.jpg,116758.604038,253555.7149957575,41998.0035365988,391.2358353278,-113.5963120467,-67.1372236062,187.1000496241,-0.4834865744,-0.099333091,-0.8696974585,-0.8752034377,0.0365655681,0.4823711246,-0.0161144332,0.9943821681,-0.104615624,-6.005804168801882,0.9233289753001755,-118.9174741588509
30,Job_20240422_0938_Track11_Sphere_00031.jpg,116759.107529,253558.3565173685,41996.4241346819,391.374707384,-113.6210352268,-69.9692351086,186.0037456478,-0.4434829308,-0.0991027834,-0.8907870275,-0.8958287892,0.0173808137,0.4440593292,-0.0285249122,0.994925397,-0.0964872206,-5.5391855916180965,1.6345787986982616,-116.33785933822092
31,Job_20240422_0938_Track11_Sphere_00032.jpg,116759.64507,253561.1049084071,41994.973073951,391.4949174542,-114.1698555303,-73.9161585974,184.5336422691,-0.386657974,-0.0958294305,-0.917230795,-0.921435901,-0.000944045,0.3885292643,-0.0380984453,0.9953973222,-0.0879356551,-5.048532707818764,2.1834085366987113,-112.7641621102202
